time;value
2016-11-22T13:12:42.000Z;133796675
2016-11-22T13:17:37.000Z;135367949
2016-11-22T13:23:23.000Z;136312541
2016-11-22T13:27:51.000Z;136780839
2016-11-22T13:32:59.000Z;139085330
2016-11-22T13:37:40.000Z;138017057
2016-11-22T13:42:54.000Z;138768562
2016-11-22T13:49:30.000Z;139907797
2016-11-22T13:53:13.000Z;139795604
2016-11-22T13:57:37.000Z;141343204
2016-11-22T14:03:09.000Z;142171056
2016-11-22T14:08:06.000Z;144610962
2016-11-22T14:13:31.000Z;145106424
2016-11-22T14:17:50.000Z;144915790
2016-11-22T14:22:55.000Z;146070307
2016-11-22T14:27:41.000Z;145572948
2016-11-22T14:33:03.000Z;145851719
2016-11-22T14:37:50.000Z;145323405
2016-11-22T14:42:55.000Z;147107187
2016-11-22T14:57:40.000Z;145207095
2016-11-22T15:03:19.000Z;148709791
2016-11-22T15:07:50.000Z;148256634
2016-11-22T15:13:34.000Z;147370693
2016-11-22T15:18:24.000Z;146593068
2016-11-22T15:22:54.000Z;147175203
2016-11-22T15:27:40.000Z;146573681
2016-11-22T15:33:10.000Z;146840978
2016-11-22T15:37:52.000Z;146900776
2016-11-22T15:42:40.000Z;146427275
2016-11-22T15:48:01.000Z;148052391
2016-11-22T15:52:50.000Z;146645397
2016-11-22T15:57:40.000Z;147052893
2016-11-22T16:03:53.000Z;147690131
2016-11-22T16:07:49.000Z;146222161
2016-11-22T16:12:49.000Z;145482947
2016-11-22T16:23:09.000Z;144582827
2016-11-22T16:28:35.000Z;143978661
2016-11-22T16:32:43.000Z;143689698
2016-11-22T16:37:43.000Z;143623678
2016-11-22T16:43:12.000Z;142163183
2016-11-22T16:47:41.000Z;142959871
2016-11-22T16:52:58.000Z;142497856
2016-11-22T16:57:40.000Z;142068080
2016-11-22T17:03:00.000Z;141747160
2016-11-22T17:07:48.000Z;143444779
2016-11-22T17:13:01.000Z;144505784
2016-11-22T17:17:40.000Z;141627415
2016-11-22T17:23:17.000Z;142555805
2016-11-22T17:27:40.000Z;140811241
2016-11-22T17:32:44.000Z;141145269
2016-11-22T17:37:46.000Z;140813210
2016-11-22T17:43:18.000Z;139639971
2016-11-22T17:47:41.000Z;139981063
2016-11-22T17:53:04.000Z;140314146
2016-11-22T17:57:40.000Z;138264859
2016-11-22T18:03:06.000Z;138700557
2016-11-22T18:07:46.000Z;139717107
2016-11-22T18:13:05.000Z;138384803
2016-11-22T18:17:41.000Z;138064933
2016-11-22T18:22:58.000Z;139774001
2016-11-22T18:28:20.000Z;138561644
2016-11-22T18:32:39.000Z;138584329
2016-11-22T18:37:39.000Z;139490174
2016-11-22T18:42:55.000Z;138755187
2016-11-22T18:47:48.000Z;140131665
2016-11-22T18:53:19.000Z;138986131
2016-11-22T18:57:39.000Z;139317144
2016-11-22T19:03:14.000Z;139407921
2016-11-22T19:07:50.000Z;139265929
2016-11-22T19:12:54.000Z;139318785
2016-11-22T19:17:38.000Z;137955781
2016-11-22T19:23:10.000Z;138767713
2016-11-22T19:27:58.000Z;137962794
2016-11-22T19:32:40.000Z;138322073
2016-11-22T19:37:55.000Z;138772423
2016-11-22T19:43:03.000Z;137674855
2016-11-22T19:47:30.000Z;138154221
2016-11-22T19:52:46.000Z;138633587
2016-11-22T19:57:38.000Z;137705653
2016-11-22T20:03:08.000Z;138122085
2016-11-22T20:07:38.000Z;139351338
2016-11-22T20:13:03.000Z;139251346
2016-11-22T20:17:38.000Z;138644557
2016-11-22T20:22:54.000Z;138954325
2016-11-22T20:27:39.000Z;137650842
2016-11-22T20:33:31.000Z;137856473
2016-11-22T20:37:38.000Z;138130566
2016-11-22T20:43:06.000Z;138584457
2016-11-22T20:47:40.000Z;138137930
2016-11-22T20:53:16.000Z;136326119
2016-11-22T20:57:39.000Z;136128587
2016-11-22T21:02:54.000Z;137275689
2016-11-22T21:07:52.000Z;136758944
2016-11-22T21:12:56.000Z;136122673
2016-11-22T21:17:38.000Z;136805090
2016-11-22T21:23:03.000Z;135965248
2016-11-22T21:27:38.000Z;134386007
2016-11-22T21:32:44.000Z;136115756
2016-11-22T21:37:39.000Z;133911422
2016-11-22T21:43:06.000Z;134146403
2016-11-22T21:47:38.000Z;133230762
2016-11-22T21:52:39.000Z;132374980
2016-11-22T21:57:37.000Z;131061032
2016-11-22T22:03:21.000Z;129612610
2016-11-22T22:07:48.000Z;129537362
2016-11-22T22:12:59.000Z;130009724
2016-11-22T22:17:38.000Z;128198552
2016-11-22T22:22:59.000Z;127667140
2016-11-22T22:27:45.000Z;125455665
2016-11-22T22:32:39.000Z;126503115
2016-11-22T22:37:37.000Z;124531362
2016-11-22T22:43:19.000Z;124553596
2016-11-22T22:47:37.000Z;123843054
2016-11-22T22:52:48.000Z;122994747
2016-11-22T22:57:38.000Z;120590977
2016-11-22T23:02:54.000Z;120959636
2016-11-22T23:07:37.000Z;121255419
2016-11-22T23:12:38.000Z;120193104
2016-11-22T23:17:36.000Z;119682569
2016-11-22T23:22:59.000Z;119017209
2016-11-22T23:27:36.000Z;117040768
2016-11-22T23:32:57.000Z;117225996
2016-11-22T23:37:35.000Z;116431417
2016-11-22T23:43:37.000Z;116020044
2016-11-22T23:47:36.000Z;117643571
2016-11-22T23:52:59.000Z;116573716
2016-11-22T23:57:35.000Z;115867482
2016-11-23T00:03:12.000Z;115076340
2016-11-23T00:07:35.000Z;117796476
2016-11-23T00:17:35.000Z;118281564
2016-11-23T00:23:12.000Z;117101189
2016-11-23T00:27:36.000Z;117412714
2016-11-23T00:32:36.000Z;116978632
2016-11-23T00:37:44.000Z;116566969
2016-11-23T00:43:15.000Z;115960750
2016-11-23T00:47:36.000Z;116642257
2016-11-23T00:52:38.000Z;116869683
2016-11-23T00:57:40.000Z;116261476
2016-11-23T01:02:57.000Z;116203824
2016-11-23T01:07:47.000Z;118505208
2016-11-23T01:12:57.000Z;118402503
2016-11-23T01:17:36.000Z;117420190
2016-11-23T01:22:48.000Z;119118790
2016-11-23T01:28:11.000Z;118068066
2016-11-23T01:33:14.000Z;117887925
2016-11-23T01:37:36.000Z;117798836
2016-11-23T01:42:45.000Z;117291206
2016-11-23T01:47:40.000Z;118495693
2016-11-23T01:52:37.000Z;117328447
2016-11-23T01:57:36.000Z;116346947
2016-11-23T02:03:12.000Z;116979392
2016-11-23T02:08:04.000Z;116645848
2016-11-23T02:12:35.000Z;116830115
2016-11-23T02:17:37.000Z;117052110
2016-11-23T02:23:00.000Z;116487620
2016-11-23T02:27:41.000Z;116213041
2016-11-23T02:32:36.000Z;115710076
2016-11-23T02:37:53.000Z;115688700
2016-11-23T02:42:37.000Z;115130485
2016-11-23T02:47:52.000Z;115016384
2016-11-23T02:52:30.000Z;113393821
2016-11-23T02:57:30.000Z;113876777
2016-11-23T03:02:52.000Z;113133671
2016-11-23T03:07:27.000Z;112808740
2016-11-23T03:12:45.000Z;112916653
2016-11-23T03:17:30.000Z;112543687
2016-11-23T03:22:40.000Z;113650393
2016-11-23T03:27:56.000Z;111410092
2016-11-23T03:32:48.000Z;111493775
2016-11-23T03:37:41.000Z;110663964
2016-11-23T03:43:03.000Z;110518754
2016-11-23T03:47:29.000Z;108517308
2016-11-23T03:52:31.000Z;108252341
2016-11-23T03:57:31.000Z;106662617
2016-11-23T04:02:28.000Z;105194916
2016-11-23T04:07:29.000Z;107627408
2016-11-23T04:12:40.000Z;106780932
2016-11-23T04:17:30.000Z;105636494
2016-11-23T04:22:59.000Z;105592297
2016-11-23T04:27:39.000Z;104233435
2016-11-23T04:32:41.000Z;103687102
2016-11-23T04:37:29.000Z;102678066
2016-11-23T04:43:22.000Z;101755572
2016-11-23T04:47:28.000Z;100738071
2016-11-23T04:52:26.000Z;99758867
2016-11-23T04:57:29.000Z;98513535
2016-11-23T05:02:24.000Z;97919259
2016-11-23T05:07:27.000Z;99736242
2016-11-23T05:12:34.000Z;99235170
2016-11-23T05:17:26.000Z;98779458
2016-11-23T05:22:55.000Z;98199853
2016-11-23T05:27:37.000Z;97846269
2016-11-23T05:32:46.000Z;98305292
2016-11-23T05:37:25.000Z;97247273
2016-11-23T05:42:24.000Z;96624741
2016-11-23T05:47:25.000Z;96788750
2016-11-23T05:52:34.000Z;96051445
2016-11-23T05:57:22.000Z;95749334
2016-11-23T06:02:54.000Z;95447223
2016-11-23T06:07:30.000Z;97227135
2016-11-23T06:12:46.000Z;96342241
2016-11-23T06:17:26.000Z;95366698
2016-11-23T06:22:29.000Z;95818676
2016-11-23T06:27:25.000Z;95274729
2016-11-23T06:37:25.000Z;95726753
2016-11-23T06:42:39.000Z;94907477
2016-11-23T06:47:25.000Z;95512717
2016-11-23T06:52:41.000Z;94865846
2016-11-23T06:57:25.000Z;93884187
2016-11-23T07:02:39.000Z;93652620
2016-11-23T07:12:27.000Z;95683514
2016-11-23T07:17:27.000Z;95334625
2016-11-23T07:22:30.000Z;95596077
2016-11-23T07:27:25.000Z;94786138
2016-11-23T07:32:40.000Z;95419660
2016-11-23T07:37:24.000Z;94880924
2016-11-23T07:42:31.000Z;94540405
2016-11-23T07:47:25.000Z;94774629
2016-11-23T07:52:29.000Z;94369407
2016-11-23T07:57:27.000Z;94486666
2016-11-23T08:02:35.000Z;94252638
2016-11-23T08:07:25.000Z;98263929
2016-11-23T08:12:25.000Z;97959470
2016-11-23T08:17:26.000Z;97418936
2016-11-23T08:22:29.000Z;98193877
2016-11-23T08:27:28.000Z;97283541
2016-11-23T08:32:38.000Z;97860178
2016-11-23T08:37:24.000Z;97397070
2016-11-23T08:42:47.000Z;97060478
2016-11-23T08:47:24.000Z;96904759
2016-11-23T08:52:45.000Z;97318384
2016-11-23T08:57:24.000Z;97230346
2016-11-23T09:02:34.000Z;97036159
2016-11-23T09:07:26.000Z;99449453
2016-11-23T09:12:41.000Z;99131288
2016-11-23T09:17:27.000Z;98854785
2016-11-23T09:22:26.000Z;99016083
2016-11-23T09:27:34.000Z;98150885
2016-11-23T09:32:38.000Z;98403800
2016-11-23T09:37:26.000Z;98737635
2016-11-23T09:42:34.000Z;98132964
2016-11-23T09:47:33.000Z;99597849
2016-11-23T09:52:40.000Z;99069478
2016-11-23T10:02:44.000Z;99947990
2016-11-23T10:07:29.000Z;101277889
2016-11-23T10:12:39.000Z;101634025
2016-11-23T10:17:26.000Z;100872333
2016-11-23T10:27:33.000Z;102179811
2016-11-23T10:32:32.000Z;102470687
2016-11-23T10:37:45.000Z;102708813
2016-11-23T10:42:27.000Z;102550240
2016-11-23T10:52:47.000Z;104540645
2016-11-23T10:57:25.000Z;104568998
2016-11-23T11:03:00.000Z;104989485
2016-11-23T11:07:32.000Z;109324130
2016-11-23T11:12:25.000Z;108561892
2016-11-23T11:17:26.000Z;109364850
2016-11-23T11:22:52.000Z;110456992
2016-11-23T11:27:30.000Z;110809796
2016-11-23T11:32:35.000Z;113325001
2016-11-23T11:37:28.000Z;113190528
2016-11-23T11:42:34.000Z;113223590
2016-11-23T11:47:37.000Z;115877134
2016-11-23T11:52:33.000Z;117055077
2016-11-23T11:57:27.000Z;117533934
2016-11-23T12:02:55.000Z;118065968
2016-11-23T12:07:31.000Z;121350281
2016-11-23T12:12:45.000Z;120784175
2016-11-23T12:17:28.000Z;121763629
2016-11-23T12:23:08.000Z;123737912
2016-11-23T12:27:59.000Z;125683257
2016-11-23T12:32:40.000Z;126230085
2016-11-23T12:38:22.000Z;126669243
2016-11-23T12:42:34.000Z;126875013
2016-11-23T12:47:37.000Z;130123784
2016-11-23T12:53:22.000Z;130555881
2016-11-23T12:57:34.000Z;131682868
2016-11-23T13:02:44.000Z;133691469
2016-11-23T13:07:30.000Z;136170219
2016-11-23T13:13:17.000Z;135792210
2016-11-23T13:17:31.000Z;136543159
2016-11-23T13:23:05.000Z;137224750
2016-11-23T13:27:39.000Z;137780169
