time,value
1483142400,1.203550540e+07
1483146000,1.173978243e+07
1483149600,1.160402281e+07
1483153200,1.135190654e+07
1483156800,1.092596594e+07
1483160400,1.036608109e+07
1483164000,9.980196775e+06
1483167600,1.000785506e+07
1483171200,1.037486408e+07
1483174800,1.068005350e+07
1483178400,1.113823770e+07
1483182000,1.176254306e+07
1483185600,1.266341663e+07
1483189200,1.381281029e+07
1483192800,1.487562388e+07
1483196400,1.599117495e+07
1483200000,1.619367417e+07
1483203600,1.584206764e+07
1483207200,1.507974448e+07
1483210800,1.454240364e+07
1483214400,1.397558070e+07
1483218000,1.361411307e+07
1483221600,1.287535002e+07
1483225200,1.193797492e+07
1483228800,1.135581709e+07
1483232400,1.092637535e+07
1483236000,1.079203157e+07
1483239600,1.068983297e+07
1483243200,1.038665620e+07
1483246800,1.032949821e+07
1483250400,1.034832727e+07
1483254000,1.033681586e+07
1483257600,1.056161551e+07
1483261200,1.094549618e+07
1483264800,1.141100626e+07
1483268400,1.209072062e+07
1483272000,1.284868270e+07
1483275600,1.381963780e+07
1483279200,1.490380732e+07
1483282800,1.576742354e+07
1483286400,1.617989724e+07
1483290000,1.642495106e+07
1483293600,1.641394955e+07
1483297200,1.645050907e+07
1483300800,1.625797244e+07
1483304400,1.549369889e+07
1483308000,1.410262973e+07
1483311600,1.285351703e+07
1483315200,1.232173666e+07
1483318800,1.202996839e+07
1483322400,1.204958888e+07
1483326000,1.175495453e+07
1483329600,1.134162812e+07
1483333200,1.070586791e+07
1483336800,1.041665559e+07
1483340400,1.045129342e+07
1483344000,1.092305617e+07
1483347600,1.148124188e+07
1483351200,1.209139312e+07
1483354800,1.287131390e+07
1483358400,1.391533827e+07
1483362000,1.511176828e+07
1483365600,1.625117386e+07
1483369200,1.710420762e+07
1483372800,1.750522290e+07
1483376400,1.751115162e+07
1483380000,1.751901340e+07
1483383600,1.742212180e+07
1483387200,1.713592595e+07
1483390800,1.631320492e+07
1483394400,1.474500950e+07
1483398000,1.328978167e+07
1483401600,1.250824960e+07
1483405200,1.233377220e+07
1483408800,1.221447757e+07
1483412400,1.174993326e+07
1483416000,1.125805718e+07
1483419600,1.076560465e+07
1483423200,1.050349878e+07
1483426800,1.059150954e+07
1483430400,1.096706683e+07
1483434000,1.134828269e+07
1483437600,1.203410332e+07
1483441200,1.306134482e+07
1483444800,1.425221093e+07
1483448400,1.534886795e+07
1483452000,1.612774959e+07
1483455600,1.655313064e+07
1483459200,1.659069977e+07
1483462800,1.672794934e+07
1483466400,1.676462349e+07
1483470000,1.681040688e+07
1483473600,1.677397070e+07
1483477200,1.591527649e+07
1483480800,1.431876292e+07
