time,value
1483560000,2.134991620e+05
1483563600,2.135972289e+05
1483567200,2.142595761e+05
1483570800,2.114480644e+05
1483574400,2.108154356e+05
1483578000,2.113163308e+05
1483581600,2.066742342e+05
1483585200,2.054896593e+05
1483588800,2.035363135e+05
1483592400,2.033181783e+05
1483596000,2.050909994e+05
1483599600,2.007800711e+05
1483603200,2.013097625e+05
1483606800,2.011873386e+05
1483610400,2.015742700e+05
1483614000,2.035951214e+05
1483617600,2.074003914e+05
1483621200,2.109325819e+05
1483624800,2.139392651e+05
1483628400,2.154948857e+05
1483632000,2.163603661e+05
1483635600,2.154654314e+05
1483639200,2.154603594e+05
1483642800,2.149715753e+05
1483646400,2.136697914e+05
1483650000,2.134417261e+05
1483653600,2.123998653e+05
1483657200,2.120867114e+05
1483660800,2.114659239e+05
1483664400,2.097050267e+05
1483668000,2.082776842e+05
1483671600,2.069328358e+05
1483675200,2.045001172e+05
1483678800,2.015118844e+05
1483682400,2.014493836e+05
1483686000,2.006582758e+05
1483689600,1.996874325e+05
1483693200,2.008978808e+05
1483696800,1.993030054e+05
1483700400,2.028870454e+05
1483704000,2.064140649e+05
1483707600,2.119456363e+05
1483711200,2.135318297e+05
1483714800,2.150456319e+05
1483718400,2.160284006e+05
1483722000,2.162246275e+05
1483725600,2.148006236e+05
1483729200,2.141066693e+05
1483732800,2.139193240e+05
1483736400,2.139944269e+05
1483740000,2.132246919e+05
1483743600,2.104821786e+05
1483747200,2.099224550e+05
1483750800,2.070458761e+05
1483754400,2.039439942e+05
1483758000,2.031376225e+05
1483761600,2.013178053e+05
1483765200,1.990492500e+05
1483768800,1.977874644e+05
1483772400,1.972491839e+05
1483776000,1.965823875e+05
1483779600,1.974689736e+05
1483783200,1.988775297e+05
1483786800,2.000737011e+05
1483790400,2.015508664e+05
1483794000,2.050506728e+05
1483797600,2.091793447e+05
1483801200,2.110014692e+05
1483804800,2.118322958e+05
1483808400,2.114818769e+05
1483812000,2.110154275e+05
1483815600,2.099755842e+05
1483819200,2.083226347e+05
1483822800,2.082871606e+05
1483826400,2.067473303e+05
1483830000,2.060088467e+05
1483833600,2.058713931e+05
1483837200,2.041271581e+05
1483840800,2.026586386e+05
1483844400,2.008239225e+05
1483848000,2.012698925e+05
1483851600,1.976419697e+05
1483855200,1.967315542e+05
1483858800,1.963427511e+05
1483862400,1.977338611e+05
